ベンダ,"GRAPHTEC Corporation"
モデル,"GL840"
バージョン,"Ver1.61  "
最大CH数,20
GS開始CH,20
WL開始CH,20
RT開始CH,20
WLユニット,Off,Off,Off,Off,Off
RTユニット,Off,Off,Off,Off,Off
RT最大CH,0,0,0,0,0
最大ロジックCH数,4
Logic/Pulse,Off,Off,Off,Off,Off,Off,Off
温度単位,C
測定間隔,5min
測定点数,284       
トリガ点,0         
開始時刻,2024-12-26,16:42:47
終了時刻,2024-12-27,16:17:51
トリガ時刻,2024-12-26,16:42:51
アンプ設定
CH,信号名,アンプ,入力,レンジ,温度レンジ,フィルタ,スパン,,単位,線色,,,線幅
CH1," CH1","M",TEMP,PT,100degC,Off,+50.00,-60.00,[degC],28,5,6,0
CH2," CH2","M",TEMP,PT1000,100degC,Off,+50.00,-60.00,[degC],0,13,23,0
CH3," CH3","M",TEMP,PT,100degC,Off,+50.00,-60.00,[degC],9,22,8,0
CH4," CH4","M",TEMP,PT,100degC,Off,+50.00,-60.00,[degC],21,0,21,0
CH5," CH5","M",TEMP,PT,100degC,Off,+50.00,-60.00,[degC],28,16,2,0
CH6," CH6","M",TEMP,PT,100degC,Off,+50.00,-60.00,[degC],5,23,30,0
CH7," CH7","M",TEMP,PT1000,100degC,Off,+50.00,-60.00,[degC],30,23,1,0
演算設定
CH,左項,演算子,右項,スケーリング,スパン,,単位
測定値
番号,日付/時間,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,Alarm1-10,Alarm11-20,AlarmOut
NO.,Time,ms,"degC","degC","degC","degC","degC","degC","degC","A1234567890","A1234567890","AO1234"
         1,2024/12/26 16:42:51,  0,-------,+++++++,+ 18.52,+ 21.10,+ 18.62,+ 19.83,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
         2,2024/12/26 16:47:51,  0,-------,+++++++,+ 18.57,+ 21.02,+ 18.70,+ 19.55,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
         3,2024/12/26 16:52:51,  0,-------,+++++++,+ 18.50,+ 21.02,+ 18.62,+ 19.55,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
         4,2024/12/26 16:57:51,  0,-------,+++++++,+ 18.37,+ 21.07,+ 18.55,+ 19.50,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
         5,2024/12/26 17:02:51,  0,-------,+++++++,+ 18.37,+ 21.04,+ 18.57,+ 19.53,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
         6,2024/12/26 17:07:51,  0,-------,+++++++,+ 18.42,+ 21.15,+ 18.57,+ 19.55,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
         7,2024/12/26 17:12:51,  0,-------,+++++++,+ 18.42,+ 21.15,+ 18.55,+ 19.53,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
         8,2024/12/26 17:17:51,  0,-------,+++++++,+ 18.42,+ 21.15,+ 18.55,+ 19.53,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
         9,2024/12/26 17:22:51,  0,-------,+++++++,+ 18.39,+ 21.10,+ 18.55,+ 19.50,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        10,2024/12/26 17:27:51,  0,-------,+++++++,+ 18.42,+ 21.15,+ 18.55,+ 19.53,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        11,2024/12/26 17:32:51,  0,-------,+++++++,+ 18.39,+ 21.04,+ 18.62,+ 19.53,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        12,2024/12/26 17:37:51,  0,-------,+++++++,+ 18.57,+ 21.10,+ 18.68,+ 19.63,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        13,2024/12/26 17:42:51,  0,+ 17.70,+++++++,+ 18.52,+ 21.15,+ 18.60,+ 19.58,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        14,2024/12/26 17:47:51,  0,-------,+++++++,+ 18.50,+ 21.15,+ 18.62,+ 19.60,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        15,2024/12/26 17:52:51,  0,-------,+++++++,+ 18.50,+ 21.10,+ 18.62,+ 19.55,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        16,2024/12/26 17:57:51,  0,-------,+++++++,+ 18.42,+ 21.15,+ 18.60,+ 19.58,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        17,2024/12/26 18:02:51,  0,-------,+++++++,+ 18.44,+ 21.15,+ 18.62,+ 19.60,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        18,2024/12/26 18:07:51,  0,-------,+++++++,+ 18.42,+ 21.15,+ 18.60,+ 19.60,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        19,2024/12/26 18:12:51,  0,-------,+++++++,+ 18.80,+ 21.10,+ 18.80,+ 19.71,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
