ベンダ,"GRAPHTEC Corporation"
モデル,"GL840"
バージョン,"Ver1.61  "
最大CH数,20
GS開始CH,20
WL開始CH,20
RT開始CH,20
WLユニット,Off,Off,Off,Off,Off
RTユニット,Off,Off,Off,Off,Off
RT最大CH,0,0,0,0,0
最大ロジックCH数,4
Logic/Pulse,Off,Off,Off,Off,Off,Off,Off
温度単位,C
測定間隔,5min
測定点数,279       
トリガ点,0         
開始時刻,2025-01-09,14:47:51
終了時刻,2025-01-10,14:01:03
トリガ時刻,2025-01-09,14:47:59
アンプ設定
CH,信号名,アンプ,入力,レンジ,温度レンジ,フィルタ,スパン,,単位,線色,,,線幅
CH1," CH1","M",TEMP,PT,100degC,Off,+50.00,-60.00,[degC],28,5,6,0
CH2," CH2","M",TEMP,PT1000,100degC,Off,+50.00,-60.00,[degC],0,13,23,0
CH3," CH3","M",TEMP,PT,100degC,Off,+50.00,-60.00,[degC],9,22,8,0
CH4," CH4","M",TEMP,PT,100degC,Off,+50.00,-60.00,[degC],21,0,21,0
CH5," CH5","M",TEMP,PT,100degC,Off,+50.00,-60.00,[degC],28,16,2,0
CH6," CH6","M",TEMP,PT,100degC,Off,+50.00,-60.00,[degC],5,23,30,0
CH7," CH7","M",TEMP,PT1000,100degC,Off,+50.00,-60.00,[degC],30,23,1,0
CH11," CH11","M",TEMP,PT,100degC,Off,+100.00,-10.00,[degC],28,5,6,0
CH12," CH12","M",TEMP,PT,100degC,Off,+100.00,-10.00,[degC],0,13,23,0
CH13," CH13","M",TEMP,PT,100degC,Off,+100.00,-10.00,[degC],9,22,8,0
CH14," CH14","M",TEMP,PT,100degC,Off,+100.00,-10.00,[degC],21,0,21,0
CH15," CH15","M",TEMP,PT,100degC,Off,+100.00,-10.00,[degC],28,16,2,0
CH16," CH16","M",TEMP,PT,100degC,Off,+100.00,-10.00,[degC],5,23,30,0
CH17," CH17","M",TEMP,PT,100degC,Off,+100.00,-10.00,[degC],30,23,1,0
CH18," CH18","M",TEMP,PT,100degC,Off,+100.00,-10.00,[degC],28,0,17,0
CH19," CH19","M",TEMP,PT,100degC,Off,+100.00,-10.00,[degC],17,11,7,0
CH20," CH20","M",TEMP,PT,100degC,Off,+100.00,-10.00,[degC],19,27,0,0
演算設定
CH,左項,演算子,右項,スケーリング,スパン,,単位
測定値
番号,日付/時間,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,Alarm1-10,Alarm11-20,AlarmOut
NO.,Time,ms,"degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","A1234567890","A1234567890","AO1234"
         1,2025/01/09 14:47:59,  0,+++++++,+++++++,+ 18.37,+ 34.53,+ 31.07,+ 19.01,-------,+++++++,+ 19.40,+++++++,+ 19.47,+ 18.83,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
         2,2025/01/09 14:52:59,  0,+++++++,+++++++,+ 18.11,+ 33.29,+ 29.22,+ 18.78,-------,+++++++,+ 18.91,+++++++,+ 19.06,+ 18.75,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
         3,2025/01/09 14:57:59,  0,+++++++,+++++++,+ 18.37,+ 33.01,+ 29.06,+ 19.09,-------,+++++++,+ 19.19,+++++++,+ 19.53,+ 18.88,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
         4,2025/01/09 15:02:59,  0,+++++++,+++++++,+ 18.34,+ 32.70,+ 28.75,+ 18.88,-------,+++++++,+ 19.04,+++++++,+ 19.45,+ 18.88,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
         5,2025/01/09 15:07:59,  0,+++++++,+++++++,+ 18.55,+ 32.96,+ 28.67,+ 19.27,-------,+++++++,+ 19.06,+++++++,+ 19.45,+ 18.93,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
         6,2025/01/09 15:12:59,  0,+++++++,+++++++,+ 18.39,+ 32.78,+ 28.31,+ 19.01,-------,+++++++,+ 19.01,+++++++,+ 19.45,+ 18.91,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
         7,2025/01/09 15:17:59,  0,+++++++,+++++++,+ 18.52,+ 33.94,+ 28.23,+ 19.19,-------,+++++++,+ 19.06,+++++++,+ 19.50,+ 18.93,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
         8,2025/01/09 15:22:59,  0,+++++++,+++++++,+ 18.68,+ 33.06,+ 28.29,+ 19.32,-------,+++++++,+ 19.11,+++++++,+ 19.60,+ 19.01,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
         9,2025/01/09 15:27:59,  0,+++++++,+++++++,+ 18.65,+ 46.20,+ 27.85,+ 19.35,-------,+++++++,+ 19.19,+++++++,+ 19.81,+ 19.06,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        10,2025/01/09 15:32:59,  0,+++++++,+++++++,+ 18.55,+ 44.42,+ 27.46,+ 19.06,-------,+++++++,+ 19.11,+++++++,+ 19.73,+ 19.04,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        11,2025/01/09 15:37:59,  0,+++++++,+++++++,+ 18.55,+ 43.59,+ 27.46,+ 19.19,-------,+++++++,+ 19.11,+++++++,+ 19.73,+ 19.01,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        12,2025/01/09 15:42:59,  0,+++++++,+++++++,+ 18.29,+ 42.68,+ 27.07,+ 19.19,-------,+++++++,+ 19.11,+++++++,+ 19.71,+ 18.98,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        13,2025/01/09 15:47:59,  0,+++++++,+++++++,+ 18.47,+ 42.16,+ 27.33,+ 19.32,-------,+++++++,+ 19.11,+++++++,+ 19.83,+ 19.01,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        14,2025/01/09 15:52:59,  0,+++++++,+++++++,+ 18.60,+ 41.96,+ 27.36,+ 19.29,-------,+++++++,+ 19.14,+++++++,+ 19.81,+ 19.04,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        15,2025/01/09 15:57:59,  0,+++++++,+++++++,+ 18.62,+ 41.54,+ 27.36,+ 19.29,-------,+++++++,+ 19.14,+++++++,+ 19.76,+ 19.04,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        16,2025/01/09 16:02:59,  0,+++++++,+++++++,+ 18.60,+ 41.33,+ 27.20,+ 19.32,-------,+++++++,+ 19.11,+++++++,+ 19.83,+ 19.04,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        17,2025/01/09 16:07:59,  0,+++++++,+++++++,+ 18.37,+ 40.69,+ 26.92,+ 18.91,-------,+++++++,+ 19.09,+++++++,+ 19.78,+ 19.01,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        18,2025/01/09 16:12:59,  0,+++++++,+++++++,+ 18.21,+ 40.40,+ 26.71,+ 18.88,-------,+++++++,+ 19.06,+++++++,+ 19.58,+ 18.96,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        19,2025/01/09 16:17:59,  0,+++++++,+++++++,+ 18.29,+ 40.35,+ 26.84,+ 19.16,-------,+++++++,+ 19.06,+++++++,+ 19.78,+ 18.93,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        20,2025/01/09 16:22:59,  0,+++++++,+++++++,+ 18.37,+ 40.14,+ 26.84,+ 19.11,-------,+++++++,+ 19.06,+++++++,+ 19.76,+ 18.93,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        21,2025/01/09 16:27:59,  0,+++++++,+++++++,+ 18.52,+ 40.22,+ 27.00,+ 19.27,-------,+++++++,+ 19.06,+++++++,+ 19.78,+ 18.96,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        22,2025/01/09 16:32:59,  0,+++++++,+++++++,+ 18.44,+ 39.94,+ 26.92,+ 19.19,-------,+++++++,+ 19.06,+++++++,+ 19.83,+ 18.96,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        23,2025/01/09 16:37:59,  0,+++++++,+++++++,+ 18.55,+ 39.88,+ 26.97,+ 19.22,-------,+++++++,+ 19.06,+++++++,+ 19.78,+ 18.93,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        24,2025/01/09 16:42:59,  0,+++++++,+++++++,+ 18.55,+ 39.70,+ 26.97,+ 19.19,-------,+++++++,+ 19.06,+++++++,+ 19.78,+ 18.96,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        25,2025/01/09 16:47:59,  0,+++++++,+++++++,+ 18.16,+ 39.18,+ 26.48,+ 19.01,-------,+++++++,+ 19.09,+++++++,+ 19.71,+ 18.96,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        26,2025/01/09 16:52:59,  0,+++++++,+++++++,+ 18.55,+ 39.34,+ 26.89,+ 19.16,-------,+++++++,+ 19.11,+++++++,+ 19.83,+ 19.01,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        27,2025/01/09 16:57:59,  0,+++++++,+++++++,+ 18.55,+ 39.29,+ 26.94,+ 19.24,-------,+++++++,+ 19.11,+++++++,+ 19.86,+ 19.01,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        28,2025/01/09 17:02:59,  0,+++++++,+++++++,+ 18.44,+ 38.87,+ 26.66,+ 19.01,-------,+++++++,+ 19.14,+++++++,+ 19.83,+ 19.04,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        29,2025/01/09 17:07:59,  0,+++++++,+++++++,+ 18.62,+ 39.00,+ 27.02,+ 19.32,-------,+++++++,+ 19.11,+++++++,+ 19.83,+ 19.04,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        30,2025/01/09 17:12:59,  0,+++++++,+++++++,+ 18.52,+ 38.74,+ 26.87,+ 19.19,-------,+++++++,+ 19.14,+++++++,+ 19.81,+ 19.01,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        31,2025/01/09 17:17:59,  0,+++++++,+++++++,+ 18.55,+ 38.72,+ 26.94,+ 19.29,-------,+++++++,+ 19.14,+++++++,+ 19.86,+ 19.06,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        32,2025/01/09 17:22:59,  0,+++++++,+++++++,+ 18.55,+ 38.59,+ 26.92,+ 19.22,-------,+++++++,+ 19.14,+++++++,+ 19.83,+ 19.06,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        33,2025/01/09 17:27:59,  0,+++++++,+++++++,+ 18.44,+ 38.33,+ 26.79,+ 19.19,-------,+++++++,+ 19.16,+++++++,+ 19.94,+ 19.06,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        34,2025/01/09 17:32:59,  0,+++++++,+++++++,+ 18.55,+ 38.25,+ 26.82,+ 19.24,-------,+++++++,+ 19.19,+++++++,+ 19.94,+ 19.06,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        35,2025/01/09 17:37:59,  0,+++++++,+++++++,+ 18.55,+ 38.05,+ 26.79,+ 19.29,-------,+++++++,+ 19.19,+++++++,+ 19.96,+ 19.06,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        36,2025/01/09 17:42:59,  0,+++++++,+++++++,+ 18.50,+ 37.86,+ 26.82,+ 19.19,-------,+++++++,+ 19.19,+++++++,+ 19.91,+ 19.11,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        37,2025/01/09 17:47:59,  0,+++++++,+++++++,+ 18.50,+ 37.61,+ 26.82,+ 19.27,-------,+++++++,+ 19.19,+++++++,+ 20.04,+ 19.11,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
        38,2025/01/09 17:52:59,  0,+++++++,+++++++,+ 18.65,+ 37.58,+ 26.92,+ 19.40,-------,+++++++,+ 19.16,+++++++,+ 19.94,+ 19.06,+++++++,+++++++,+++++++,+++++++,+++++++,LLLLLLLLLL,LLLLLLLLLL,LLLL
